都道府県コード又は市区町村コード,NO,都道府県名,市区町村名,種別,住所,方書,緯度（１０進法表記）,経度（１０進法表記）,容量（ｍ3）,備考
252123,0000000035,滋賀県,高島市,防火水槽,高島市マキノ町野口路原,,35.51634167 ,136.09141944 ,40,公設（有蓋）
252123,0000000036,滋賀県,高島市,防火水槽,高島市　マキノ町野口野口,,35.49933611 ,136.09041667 ,40,公設（有蓋）
252123,0000000037,滋賀県,高島市,防火水槽,高島市マキノ町山中,,35.49585833 ,136.06855556 ,40,公設（有蓋）
252123,0000000038,滋賀県,高島市,防火水槽,高島市マキノ町山中,,35.49601111 ,136.06996944 ,40,公設（有蓋）
252123,0000000039,滋賀県,高島市,防火水槽,高島市マキノ町山中,,35.49422222 ,136.06932778 ,40,公設（有蓋）
252123,0000000040,滋賀県,高島市,防火水槽,高島市マキノ町石庭,,35.47538611 ,136.02790556 ,40,公設（有蓋）
252123,0000000041,滋賀県,高島市,防火水槽,高島市マキノ町石庭,,35.47696944 ,136.02749167 ,40,公設（有蓋）
252123,0000000042,滋賀県,高島市,防火水槽,高島市マキノ町石庭,,35.47403611 ,136.03245556 ,40,公設（有蓋）
252123,0000000043,滋賀県,高島市,防火水槽,高島市 マキノ町石庭（マロンガーデン）,,35.48003889 ,136.02859444 ,40,公設（有蓋）
252123,0000000044,滋賀県,高島市,防火水槽,高島市マキノ町大沼,,35.44044722 ,136.03143056 ,40,公設（有蓋）
